Accuracy,Precision,Recall,F1,Threshold,Distance from 0.50
0.872,0.8472998137802608,0.908183632734531,0.8766859344894027,0.47000000000000014,0.02999999999999986
0.873,0.8541666666666666,0.9001996007984032,0.8765792031098154,0.48000000000000015,0.01999999999999985
0.873,0.8624031007751938,0.8882235528942116,0.8751229105211407,0.49000000000000016,0.009999999999999842
0.866,0.8342440801457195,0.9141716566866267,0.8723809523809524,0.46000000000000013,0.03999999999999987
0.871,0.8661417322834646,0.8782435129740519,0.8721506442021804,0.5000000000000002,2.220446049250313e-16
0.868,0.8697394789579158,0.8662674650698603,0.868,0.5100000000000002,0.010000000000000231
0.857,0.8173758865248227,0.9201596806387226,0.8657276995305164,0.4500000000000001,0.04999999999999988
0.852,0.7986463620981388,0.9421157684630739,0.8644688644688645,0.4300000000000001,0.0699999999999999
0.866,0.8783505154639175,0.8502994011976048,0.8640973630831643,0.5200000000000002,0.02000000000000024
0.851,0.8044982698961938,0.9281437125748503,0.8619091751621872,0.4400000000000001,0.05999999999999989
0.843,0.7838283828382838,0.9481037924151696,0.8581752484191508,0.4200000000000001,0.0799999999999999
0.861,0.8867521367521367,0.8283433133732535,0.8565531475748194,0.5300000000000002,0.03000000000000025
0.858,0.8876889848812095,0.8203592814371258,0.8526970954356846,0.5400000000000003,0.04000000000000026
0.833,0.7693548387096775,0.9520958083832335,0.8510258697591436,0.4100000000000001,0.08999999999999991
0.857,0.8942731277533039,0.810379241516966,0.8502617801047121,0.5500000000000003,0.050000000000000266
0.829,0.7610759493670886,0.9600798403193613,0.8490732568402471,0.4000000000000001,0.09999999999999992
0.823,0.7515527950310559,0.9660678642714571,0.845414847161572,0.39000000000000007,0.10999999999999993
0.857,0.9241706161137441,0.7784431137724551,0.8450704225352113,0.5800000000000003,0.0800000000000003
0.821,0.7469325153374233,0.9720558882235529,0.8447528187337381,0.38000000000000006,0.11999999999999994
0.851,0.8963963963963963,0.7944111776447106,0.8423280423280424,0.5600000000000003,0.060000000000000275
0.85,0.9053117782909931,0.782435129740519,0.8394004282655246,0.5700000000000003,0.07000000000000028
0.809,0.733433734939759,0.9720558882235529,0.8360515021459227,0.37000000000000005,0.12999999999999995
0.849,0.928921568627451,0.7564870259481038,0.8338833883388339,0.5900000000000003,0.0900000000000003
0.803,0.7248520710059172,0.9780439121756487,0.832625318606627,0.36000000000000004,0.13999999999999996
0.79,0.7105643994211288,0.9800399201596807,0.8238255033557047,0.35000000000000003,0.14999999999999997
0.843,0.941025641025641,0.7325349301397206,0.8237934904601572,0.6000000000000003,0.10000000000000031
0.774,0.6944837340876945,0.9800399201596807,0.8129139072847682,0.34,0.15999999999999998
0.831,0.9438502673796791,0.7045908183632734,0.8068571428571428,0.6100000000000003,0.11000000000000032
0.764,0.6842837273991655,0.9820359281437125,0.8065573770491803,0.33,0.16999999999999998
0.752,0.6725784447476125,0.9840319361277445,0.7990275526742301,0.32,0.18
0.74,0.661744966442953,0.9840319361277445,0.7913322632423756,0.31,0.19
0.82,0.947075208913649,0.6786427145708582,0.7906976744186046,0.6200000000000003,0.12000000000000033
0.819,0.9519774011299436,0.6726546906187625,0.7883040935672515,0.6300000000000003,0.13000000000000034
0.729,0.6517150395778364,0.9860279441117764,0.7847498014297061,0.3,0.2
0.809,0.9558823529411765,0.6487025948103793,0.7728894173602854,0.6400000000000003,0.14000000000000035
0.803,0.9606060606060606,0.6327345309381237,0.762936221419976,0.6500000000000004,0.15000000000000036
0.795,0.9654088050314465,0.6127744510978044,0.7496947496947497,0.6600000000000004,0.16000000000000036
0.778,0.9665551839464883,0.5768463073852296,0.7225,0.6700000000000004,0.17000000000000037
0.759,0.9676258992805755,0.5369261477045908,0.6906290115532734,0.6800000000000004,0.18000000000000038
0.737,0.96484375,0.4930139720558882,0.6525759577278731,0.6900000000000004,0.1900000000000004
0.723,0.9666666666666667,0.4630738522954092,0.6261808367071525,0.7000000000000004,0.2000000000000004
