Accuracy,Precision,Recall,F1,Threshold,Distance from 0.50
0.846,0.8114901256732495,0.9021956087824351,0.8544423440453687,0.3,0.2
0.851,0.8384615384615385,0.8702594810379242,0.8540646425073457,0.4500000000000001,0.04999999999999988
0.852,0.8440545808966862,0.8642714570858283,0.854043392504931,0.49000000000000016,0.009999999999999842
0.851,0.8410852713178295,0.8662674650698603,0.8534906588003933,0.48000000000000015,0.01999999999999985
0.845,0.8111510791366906,0.9001996007984032,0.8533585619678334,0.31,0.19
0.85,0.839458413926499,0.8662674650698603,0.8526522593320236,0.47000000000000014,0.02999999999999986
0.851,0.8450980392156863,0.8602794411177644,0.8526211671612265,0.5000000000000002,2.220446049250313e-16
0.849,0.8352490421455939,0.8702594810379242,0.852394916911046,0.4400000000000001,0.05999999999999989
0.848,0.8311195445920304,0.874251497005988,0.8521400778210116,0.4200000000000001,0.0799999999999999
0.849,0.8378378378378378,0.8662674650698603,0.8518155053974484,0.46000000000000013,0.03999999999999987
0.844,0.8130671506352087,0.8942115768463074,0.8517110266159695,0.33,0.16999999999999998
0.846,0.8230912476722533,0.8822355289421158,0.8516377649325626,0.39000000000000007,0.10999999999999993
0.846,0.8230912476722533,0.8822355289421158,0.8516377649325626,0.38000000000000006,0.11999999999999994
0.846,0.8230912476722533,0.8822355289421158,0.8516377649325626,0.37000000000000005,0.12999999999999995
0.848,0.8336520076481836,0.8702594810379242,0.8515625,0.4300000000000001,0.0699999999999999
0.851,0.852,0.8502994011976048,0.8511488511488512,0.5300000000000002,0.03000000000000025
0.844,0.8153564899451554,0.8902195608782435,0.851145038167939,0.35000000000000003,0.14999999999999997
0.845,0.8203703703703704,0.8842315369261478,0.851104707012488,0.36000000000000004,0.13999999999999996
0.843,0.8115942028985508,0.8942115768463074,0.8509021842355176,0.32,0.18
0.85,0.8475247524752475,0.8542914171656687,0.8508946322067594,0.5100000000000002,0.010000000000000231
0.851,0.8534136546184738,0.8483033932135728,0.8508508508508509,0.5500000000000003,0.050000000000000266
0.846,0.8267419962335216,0.8762475049900199,0.8507751937984496,0.4100000000000001,0.08999999999999991
0.85,0.8489065606361829,0.8522954091816367,0.850597609561753,0.5200000000000002,0.02000000000000024
0.845,0.8227611940298507,0.8802395209580839,0.8505303760848602,0.4000000000000001,0.09999999999999992
0.85,0.8517034068136272,0.8483033932135728,0.85,0.5400000000000003,0.04000000000000026
0.842,0.8123861566484517,0.8902195608782435,0.8495238095238096,0.34,0.15999999999999998
0.85,0.8545454545454545,0.844311377245509,0.8493975903614458,0.5600000000000003,0.060000000000000275
0.847,0.8551020408163266,0.8363273453093812,0.8456104944500504,0.5700000000000003,0.07000000000000028
0.847,0.8565573770491803,0.8343313373253493,0.8452982810920121,0.5800000000000003,0.0800000000000003
0.847,0.8580246913580247,0.8323353293413174,0.8449848024316109,0.5900000000000003,0.0900000000000003
0.846,0.8592132505175983,0.8283433133732535,0.8434959349593496,0.6000000000000003,0.10000000000000031
0.845,0.8589211618257261,0.8263473053892215,0.8423194303153612,0.6100000000000003,0.11000000000000032
0.843,0.8583333333333333,0.8223552894211577,0.8399592252803262,0.6200000000000003,0.12000000000000033
0.843,0.8659574468085106,0.812375249500998,0.8383110195674562,0.6400000000000003,0.14000000000000035
0.841,0.8607594936708861,0.8143712574850299,0.8369230769230769,0.6300000000000003,0.13000000000000034
0.839,0.8648068669527897,0.8043912175648703,0.8335056876938987,0.6500000000000004,0.15000000000000036
0.838,0.8660907127429806,0.8003992015968064,0.8319502074688797,0.6600000000000004,0.16000000000000036
0.835,0.8668122270742358,0.7924151696606786,0.8279457768508863,0.6700000000000004,0.17000000000000037
0.834,0.8681318681318682,0.7884231536926147,0.8263598326359832,0.6800000000000004,0.18000000000000038
0.829,0.8699551569506726,0.7744510978043913,0.8194297782470961,0.6900000000000004,0.1900000000000004
0.828,0.873015873015873,0.7684630738522954,0.8174097664543525,0.7000000000000004,0.2000000000000004
