,precision,recall,f1-score,support
Abyssinian,0.9615384615384616,0.8333333333333334,0.8928571428571429,30.0
Bengal,1.0,0.5666666666666667,0.723404255319149,30.0
Birman,0.8125,0.8666666666666667,0.8387096774193549,30.0
Bombay,0.84375,0.9,0.8709677419354839,30.0
British_Shorthair,0.7741935483870968,0.8,0.7868852459016393,30.0
Egyptian_Mau,0.6923076923076923,0.9,0.782608695652174,30.0
Maine_Coon,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
Persian,1.0,0.8666666666666667,0.9285714285714286,30.0
Ragdoll,0.6764705882352942,0.7666666666666667,0.71875,30.0
Russian_Blue,0.7352941176470589,0.8333333333333334,0.78125,30.0
Siamese,0.9032258064516129,0.9333333333333333,0.9180327868852459,30.0
Sphynx,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
american_bulldog,0.7368421052631579,0.9333333333333333,0.8235294117647058,30.0
american_pit_bull_terrier,0.7272727272727273,0.5333333333333333,0.6153846153846154,30.0
basset_hound,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
beagle,0.875,0.9333333333333333,0.9032258064516129,30.0
boxer,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
chihuahua,1.0,0.7666666666666667,0.8679245283018868,30.0
english_cocker_spaniel,1.0,0.9333333333333333,0.9655172413793104,30.0
english_setter,1.0,0.9,0.9473684210526315,30.0
german_shorthaired,1.0,0.9,0.9473684210526315,30.0
great_pyrenees,0.8823529411764706,1.0,0.9375,30.0
havanese,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
japanese_chin,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
keeshond,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
leonberger,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
miniature_pinscher,0.9,0.9,0.9,30.0
newfoundland,0.9375,1.0,0.967741935483871,30.0
pomeranian,0.9642857142857143,0.9,0.9310344827586207,30.0
pug,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
saint_bernard,0.875,0.9333333333333333,0.9032258064516129,30.0
samoyed,0.9,0.9,0.9,30.0
scottish_terrier,1.0,1.0,1.0,30.0
shiba_inu,0.9,0.9,0.9,30.0
staffordshire_bull_terrier,0.5757575757575758,0.6551724137931034,0.6129032258064516,29.0
wheaten_terrier,1.0,0.9666666666666667,0.9830508474576272,30.0
yorkshire_terrier,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
accuracy,0.8899909828674482,0.8899909828674482,0.8899909828674482,0.8899909828674482
macro avg,0.8976196432235692,0.8897794346070208,0.8896240525221673,1109.0
weighted avg,0.8979098705161446,0.8899909828674482,0.8898735753596025,1109.0
